id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1051,IPL-2024,Mohali,13-04-2024,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,normal,1,Rajasthan Royals,0.0,3.0,SO Hetmyer,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",,,
1052,IPL-2024,Kolkata,14-04-2024,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,0.0,8.0,PD Salt,"Eden Gardens, Kolkata",,,
1053,IPL-2024,Mumbai,14-04-2024,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,1,Chennai Super Kings,20.0,0.0,M Pathirana,"Wankhede Stadium, Mumbai",,,
1054,IPL-2024,Bengaluru,15-04-2024,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Sunrisers Hyderabad,25.0,0.0,TM Head,"M Chinnaswamy Stadium, Bengaluru",,,
1055,IPL-2024,Kolkata,16-04-2024,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,1,Rajasthan Royals,0.0,2.0,JC Buttler,"Eden Gardens, Kolkata",,,
1056,IPL-2024,Ahmedabad,17-04-2024,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,normal,1,Delhi Capitals,0.0,6.0,RR Pant,"Narendra Modi Stadium, Ahmedabad",,,
1057,IPL-2024,Mohali,18-04-2024,Mumbai Indians,Punjab Kings,Punjab Kings,field,normal,1,Mumbai Indians,9.0,0.0,JJ Bumrah,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",,,
1058,IPL-2024,Lucknow,19-04-2024,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,normal,1,Lucknow Super Giants,0.0,8.0,KL Rahul,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,
1059,IPL-2024,Delhi,20-04-2024,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,normal,1,Sunrisers Hyderabad,67.0,0.0,TM Head,"Arun Jaitley Stadium, Delhi",,,
1060,IPL-2024,Kolkata,21-04-2024,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Kolkata Knight Riders,1.0,0.0,AD Russell,"Eden Gardens, Kolkata",,,
1061,IPL-2024,Mohali,21-04-2024,Punjab Kings,Gujarat Titans,Punjab Kings,bat,normal,1,Gujarat Titans,0.0,3.0,R Sai Kishore,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",,,
1062,IPL-2024,Jaipur,22-04-2024,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,1,Rajasthan Royals,0.0,9.0,Sandeep Sharma,"Sawai Mansingh Stadium, Jaipur",,,
1063,IPL-2024,Chennai,23-04-2024,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,normal,1,Lucknow Super Giants,0.0,6.0,MP Stoinis,"MA Chidambaram Stadium, Chepauk, Chennai",,,
1064,IPL-2024,Delhi,24-04-2024,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,normal,1,Delhi Capitals,4.0,0.0,RR Pant,"Arun Jaitley Stadium, Delhi",,,
1065,IPL-2024,Hyderabad,25-04-2024,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,1,Royal Challengers Bangalore,35.0,0.0,RM Patidar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,
1066,IPL-2024,Kolkata,26-04-2024,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,normal,1,Punjab Kings,0.0,8.0,JM Bairstow,"Eden Gardens, Kolkata",,,
1067,IPL-2024,Delhi,27-04-2024,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,1,Delhi Capitals,10.0,0.0,J Fraser-McGurk,"Arun Jaitley Stadium, Delhi",,,
1068,IPL-2024,Lucknow,27-04-2024,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,normal,1,Rajasthan Royals,0.0,7.0,SV Samson,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,
1069,IPL-2024,Ahmedabad,28-04-2024,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Royal Challengers Bangalore,0.0,9.0,WG Jacks,"Narendra Modi Stadium, Ahmedabad",,,
1070,IPL-2024,Chennai,28-04-2024,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,Chennai Super Kings,78.0,0.0,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",,,
1071,IPL-2024,Kolkata,29-04-2024,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,normal,1,Kolkata Knight Riders,0.0,7.0,CV Varun,"Eden Gardens, Kolkata",,,
1072,IPL-2024,Lucknow,30-04-2024,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,normal,1,Lucknow Super Giants,0.0,4.0,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,
1073,IPL-2024,Chennai,01-05-2024,Chennai Super Kings,Punjab Kings,Punjab Kings,field,normal,1,Punjab Kings,0.0,7.0,Harpreet Brar,"MA Chidambaram Stadium, Chepauk, Chennai",,,
